feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Sphingosinithalassobacter	sample_type	paraffin_ctrl	6.393226857075	0.594489757709148	176	76	1.85969398382825e-17	4.29589310264326e-15
Mesorhizobium	sample_type	paraffin_ctrl	-6.45495120803072	0.721768783947776	176	77	4.25031693708615e-14	4.9091160623345e-12
Rhizorhabdus	sample_type	paraffin_ctrl	3.06639977990985	0.383124094623933	176	67	1.64395351915122e-13	1.26584420974644e-11
Brevundimonas	sample_type	paraffin_ctrl	4.72439284995794	0.742060030727658	176	70	1.66178343691835e-09	9.59679934820347e-08
Ralstonia	sample_type	paraffin_ctrl	-4.79061593789459	0.762782021838404	176	71	1.0753037450488e-08	4.96790330212546e-07
Ochrobactrum	sample_type	paraffin_ctrl	-2.80786775001387	0.497863214189705	176	34	1.53207119792557e-07	5.89847411201343e-06
Caenibius	sample_type	paraffin_ctrl	2.43882269172825	0.449808723363876	176	41	2.10713457445371e-07	6.95354409569725e-06
Rhizobium	sample_type	paraffin_ctrl	-2.73305941047389	0.58529397589738	176	55	7.64979843242883e-06	0.000220887929736382
Stenotrophomonas	sample_type	paraffin_ctrl	2.5965995766603	0.569498199613376	176	55	9.65636865310804e-06	0.000247846795429773
Anaerostipes	sample_type	paraffin_ctrl	-1.68247469910621	0.375056147374433	176	38	2.08737509395678e-05	0.000445876084765456
Enterococcus	sample_type	paraffin_ctrl	-2.39635941113795	0.53709923496285	176	98	2.12321945126408e-05	0.000445876084765456
Haemophilus	sample_type	paraffin_ctrl	-3.46169672635358	0.797024332445217	176	81	2.47970175355453e-05	0.000477342587559246
Moraxella	sample_type	paraffin_ctrl	3.37733647326012	0.810949651325289	176	100	6.27230709128783e-05	0.00111454072160576
Anaerocolumna	sample_type	paraffin_ctrl	-1.67159053545139	0.40336142266	176	32	8.02675356341111e-05	0.00131586161151729
Tardibacter	sample_type	paraffin_ctrl	1.14171067548474	0.274048452122595	176	30	8.54455591894343e-05	0.00131586161151729
Clostridium	sample_type	paraffin_ctrl	-2.18301487964611	0.539322513579696	176	53	0.000115057132033514	0.00166113734373385
Qipengyuania	sample_type	paraffin_ctrl	1.68952279061634	0.440442726391858	176	74	0.000174715216225836	0.0023740714675393
Roseburia	sample_type	paraffin_ctrl	-1.81265776838062	0.457791851766583	176	42	0.000213923499778102	0.00274535158048564
Paraburkholderia	sample_type	paraffin_ctrl	-2.11248584784452	0.551680634061582	176	58	0.000225847954121035	0.00274583565273468
Aquibium	sample_type	paraffin_ctrl	-1.51012413780405	0.400855769210335	176	29	0.000279595333999807	0.00322932610769777
Butyrivibrio	sample_type	paraffin_ctrl	-1.46200708522695	0.391058257300611	176	29	0.000336234300506377	0.00353046015531696
Rhodoplanes	sample_type	paraffin_ctrl	1.11078513281085	0.301521113554161	176	19	0.000329492977443641	0.00353046015531696
Serratia	sample_type	paraffin_ctrl	-2.03134317469689	0.523809590547058	176	65	0.000475250477217356	0.0047731678364004
Gemella	sample_type	paraffin_ctrl	-2.77640294814812	0.77187364824495	176	79	0.000496163615066166	0.00477557479501184
Brucella	sample_type	paraffin_ctrl	-2.06588485589831	0.5664544896236	176	52	0.000568269896963076	0.00525081384793882
Bacteroides	sample_type	paraffin_ctrl	-1.33280654715211	0.375437862985372	176	23	0.000597444319033819	0.00530806298833893
Aeromonas	sample_type	paraffin_ctrl	-1.61965965591837	0.457611660892916	176	30	0.000635023350727574	0.0054329775562248
Anabaena	sample_type	paraffin_ctrl	1.62985320465398	0.472106168904247	176	74	0.000697820475191643	0.00575701892033106
Pantoea	sample_type	paraffin_ctrl	-1.70953830305771	0.49403888722208	176	55	0.000771009248243599	0.00614148746014729
Bacillus	sample_type	paraffin_ctrl	-2.21250426416568	0.650801687438292	176	85	0.00102495838083181	0.00789217953240493
Mediterraneibacter	sample_type	paraffin_ctrl	-1.50202368071306	0.442323157091673	176	37	0.0010769094536271	0.00802471238025352
Ruminococcus	sample_type	paraffin_ctrl	-1.1241432576101	0.340203597078619	176	20	0.0011869877446926	0.00856856778199968
Veillonella	sample_type	paraffin_ctrl	-2.68472212319295	0.791649725507157	176	83	0.00125766630145169	0.0085845613290438
Croceicoccus	sample_type	paraffin_ctrl	0.985623721397956	0.286859879042138	176	29	0.00126352850730515	0.0085845613290438
Tetragenococcus	sample_type	paraffin_ctrl	-1.65739053378861	0.502094392773148	176	58	0.00143849849968214	0.00923472353611569
Erwinia	sample_type	paraffin_ctrl	-1.74305962023533	0.531454265773018	176	36	0.00143917769394011	0.00923472353611569
Janthinobacterium	sample_type	paraffin_ctrl	-2.11214683055138	0.661136906978062	176	72	0.00169992094353857	0.0106130199447949
Megasphaera	sample_type	paraffin_ctrl	-1.93871186558046	0.608078194700465	176	38	0.00183812325060248	0.0108873454074147
Herbinix	sample_type	paraffin_ctrl	-0.870016824809161	0.269493412396302	176	36	0.00181948084556346	0.0108873454074147
Fusobacterium	sample_type	paraffin_ctrl	-2.4638934081813	0.760329448095451	176	52	0.00188618609789567	0.0108927247153475
Streptococcus	sample_type	paraffin_ctrl	-2.47911170808231	0.787289620744206	176	142	0.00209750612165996	0.0118176564415476
Prevotella	sample_type	paraffin_ctrl	-1.73238459626775	0.554985010007419	176	39	0.00216667162009393	0.0119166939105166
Pseudomonas	sample_type	paraffin_ctrl	-2.77963437327251	0.882656123313846	176	79	0.00222726007673566	0.0119650483192078
Lacrimispora	sample_type	paraffin_ctrl	-1.37509025451854	0.426747924325575	176	33	0.00239645331278584	0.0125813798921257
Abiotrophia	sample_type	paraffin_ctrl	-1.84548649157363	0.599903192705868	176	60	0.00282148822673052	0.0135784120911406
Aerococcus	sample_type	paraffin_ctrl	-1.93856214456015	0.629057619269285	176	68	0.00267718013840315	0.0135784120911406
Carnobacterium	sample_type	paraffin_ctrl	-1.72817538459904	0.539795950560873	176	69	0.00279650413679779	0.0135784120911406
Parasphingopyxis	sample_type	paraffin_ctrl	0.642065245452802	0.206748391594417	176	20	0.00277424400883448	0.0135784120911406
Peptacetobacter	sample_type	paraffin_ctrl	-1.66270149211359	0.54634062986375	176	36	0.0029379334225664	0.0136081421840646
Methylocystis	sample_type	paraffin_ctrl	0.755617692436878	0.251585552637591	176	21	0.00306330473407515	0.0136081421840646
Burkholderia	sample_type	paraffin_ctrl	-2.85391110226667	0.942398323213515	176	75	0.00303356176009264	0.0136081421840646
Roseomonas	sample_type	paraffin_ctrl	1.17412479427281	0.389726374143482	176	25	0.0029758390155948	0.0136081421840646
Mogibacterium	sample_type	paraffin_ctrl	-2.52390730880423	0.871842262541666	176	45	0.00464939502397843	0.0202643443497928
Romboutsia	sample_type	paraffin_ctrl	-1.04180814126617	0.364704549798976	176	32	0.00517364730718125	0.0221013832765899
Herbaspirillum	sample_type	paraffin_ctrl	-1.64258150756175	0.568753052010735	176	66	0.00526223411347378	0.0221013832765899
Clostridioides	sample_type	paraffin_ctrl	-1.22758977868818	0.432317186166882	176	36	0.00554053482282004	0.0228547061441327
Raoultella	sample_type	paraffin_ctrl	-0.865803786993636	0.306473829877505	176	32	0.00583679165214269	0.0232465322697407
Vagococcus	sample_type	paraffin_ctrl	-2.00875884469836	0.709020624883946	176	69	0.00578718927626363	0.0232465322697407
Aggregatibacter	sample_type	paraffin_ctrl	-1.5234809848111	0.537756439715638	176	42	0.00614016510847006	0.0236396356676098
Sulfuricystis	sample_type	paraffin_ctrl	0.7283394391667	0.262090639627045	176	18	0.00609418520892662	0.0236396356676098
Enterobacteriaceae_unclassified_family	sample_type	paraffin_ctrl	-1.24108518277864	0.445015849129872	176	36	0.0063240948220369	0.0239486213752545
Lachnoclostridium	sample_type	paraffin_ctrl	-1.22716700746985	0.455651679056637	176	36	0.00822924527735514	0.0301738993503022
Altererythrobacter	sample_type	paraffin_ctrl	0.900422466627505	0.322985921474475	176	36	0.00819050742070553	0.0301738993503022
Blautia	sample_type	paraffin_ctrl	-1.82421292512047	0.683965105890188	176	37	0.0086958270007399	0.0313865005807956
Proteus	sample_type	paraffin_ctrl	-1.06241745147034	0.393077843188152	176	46	0.00902152733348819	0.0314213324015534
Sphingobium	sample_type	paraffin_ctrl	1.95323276362817	0.704693406291887	176	109	0.00907969328920098	0.0314213324015534
Phenylobacterium	sample_type	paraffin_ctrl	0.90046584858736	0.315685014765463	176	18	0.00911354662729039	0.0314213324015534
Leclercia	sample_type	paraffin_ctrl	-1.07291327288431	0.407303535130604	176	44	0.00995691489860529	0.0338242256114386
Paraclostridium	sample_type	paraffin_ctrl	-0.821517822575892	0.318735843391403	176	32	0.0112885126933921	0.0372520918881941
Caulobacter	sample_type	paraffin_ctrl	-1.27085616481546	0.494802671216781	176	32	0.0112772793112575	0.0372520918881941
Cutibacterium	sample_type	paraffin_ctrl	2.23285357010683	0.863996647584948	176	129	0.0120577667410913	0.038155398865645
Eubacteriales.Family.XIII..Incertae.Sedis_unclassified_family	sample_type	paraffin_ctrl	-1.33588534522963	0.523682439751944	176	37	0.0119313125597896	0.038155398865645
Kluyvera	sample_type	paraffin_ctrl	-0.659422131168567	0.25383019081862	176	20	0.0120455030328528	0.038155398865645
Tsuneonella	sample_type	paraffin_ctrl	0.751894117659306	0.30087311074998	176	25	0.013414412441639	0.0418747199191705
Neisseria	sample_type	paraffin_ctrl	-1.79845901683817	0.716658472722139	176	59	0.0136218992484129	0.0419554496851116
Actinomyces	sample_type	paraffin_ctrl	-1.34639344747912	0.538433681279068	176	30	0.0138704953229134	0.0421590055209604
Sphingosinicella	sample_type	paraffin_ctrl	1.52585604977329	0.616402185733272	176	143	0.014924958716584	0.0447748761497521
Hyphomicrobium	sample_type	paraffin_ctrl	0.953416768178775	0.389808379265011	176	18	0.0154482009328979	0.0457504412243514
Lachnoanaerobaculum	sample_type	paraffin_ctrl	-1.09408010522665	0.442418736795953	176	33	0.0160730938259093	0.0467439207553833
Klebsiella	sample_type	paraffin_ctrl	-1.32110407210124	0.544038643364945	176	72	0.0161883708243752	0.0467439207553833
Lapidilactobacillus	sample_type	paraffin_ctrl	-0.614940621274369	0.250855340758777	176	24	0.016852695705172	0.0480613914554905
Jeotgalibaca	sample_type	paraffin_ctrl	-1.17602194188785	0.482123761403571	176	51	0.01727796786996	0.0486732997312289
Anaerobutyricum	sample_type	paraffin_ctrl	-1.15032227805591	0.478265716984815	176	26	0.0179497862824343	0.0498910421994221
Vibrio	sample_type	paraffin_ctrl	-1.1039852951161	0.448927733308207	176	44	0.0181421971634262	0.0498910421994221
Enterobacter	sample_type	paraffin_ctrl	-1.3730169297425	0.582729446292449	176	68	0.0195774590083979	0.0522601655056519
Methylorubrum	sample_type	paraffin_ctrl	1.88690229079895	0.795305684676926	176	59	0.0196823999956351	0.0522601655056519
Melissococcus	sample_type	paraffin_ctrl	-0.522631719373768	0.219490232108571	176	20	0.0192957281381672	0.0522601655056519
Sinorhizobium	sample_type	paraffin_ctrl	-1.06281980626522	0.429670378123135	176	41	0.0218408731683219	0.057332292066845
Segatella	sample_type	paraffin_ctrl	-0.623270165015957	0.271101013721006	176	27	0.0227546519210685	0.0590598268962563
Actinobacillus	sample_type	paraffin_ctrl	-0.964214540113606	0.417420277305786	176	48	0.0234724900480701	0.0602460577900466
Yersinia	sample_type	paraffin_ctrl	-0.822313098542769	0.344927848564334	176	41	0.0251601967029785	0.0638681916306377
Ancylobacter	sample_type	paraffin_ctrl	0.508232226152379	0.225699318058542	176	24	0.025584737809952	0.0641922720757689
Oscillatoria	sample_type	paraffin_ctrl	0.392820768458517	0.174756613692612	176	19	0.0258436420045303	0.0641922720757689
Mannheimia	sample_type	paraffin_ctrl	-0.707202222858129	0.319133705448755	176	37	0.0286918556136343	0.0697665120710475
Pectobacterium	sample_type	paraffin_ctrl	-0.594402115996645	0.259439866714024	176	31	0.0285318114562601	0.0697665120710475
Paracoccus	sample_type	paraffin_ctrl	1.69843057961047	0.785473141268904	176	79	0.0331824267868959	0.0798452144559683
Sodalis	sample_type	paraffin_ctrl	-0.763899172300686	0.359972431264228	176	37	0.0380850772155911	0.0897719677224648
Breoghania	sample_type	paraffin_ctrl	-0.6958337737413	0.313568752635126	176	19	0.0377909179417883	0.0897719677224648
Caballeronia	sample_type	paraffin_ctrl	-0.690635322572513	0.333624995117555	176	31	0.0405702222253322	0.0946638518591086
Parvimonas	sample_type	paraffin_ctrl	-1.61556139406484	0.757089851811939	176	47	0.0410454558489331	0.0948150030110355
Crassaminicella	sample_type	paraffin_ctrl	-0.994185844029525	0.480095493038249	176	30	0.042231602989817	0.0965891117885915
Phascolarctobacterium	sample_type	paraffin_ctrl	-0.599613338851984	0.293615973060114	176	25	0.0432468582174198	0.0979414141982743
Micrococcus	sample_type	paraffin_ctrl	1.03452342665526	0.503808463187003	176	29	0.0448519292302663	0.100590249050403
Aminipila	sample_type	paraffin_ctrl	-1.36747764421685	0.688236917237472	176	36	0.0502131527254714	0.111531137303691
Schaalia	sample_type	paraffin_ctrl	-1.12337961468507	0.575486825758662	176	26	0.0526315400990839	0.115789388217985
Acetivibrio	sample_type	paraffin_ctrl	-0.70083711498393	0.356160522326014	176	20	0.0539956632119392	0.116590918419747
Novosphingobium	sample_type	paraffin_ctrl	1.00974567917316	0.518320657204493	176	157	0.0540053171900994	0.116590918419747
Providencia	sample_type	paraffin_ctrl	-0.462515218213389	0.241770242571264	176	24	0.0585431425415981	0.125217277102863
Avibacterium	sample_type	paraffin_ctrl	-0.645328546994508	0.336058513443197	176	33	0.06050272658784	0.128221374695331
Tannerella	sample_type	paraffin_ctrl	-0.575236297129262	0.305332110552092	176	26	0.0626926003652536	0.130468384543906
Cronobacter	sample_type	paraffin_ctrl	-0.708398406721755	0.369233239996742	176	30	0.0625733413179081	0.130468384543906
Mixta	sample_type	paraffin_ctrl	-0.86092852578113	0.460911601785303	176	33	0.0646302310265779	0.133299851492317
Weissella	sample_type	paraffin_ctrl	-0.638832756108796	0.34305347994946	176	41	0.0688504785024082	0.14074743835448
Hungatella	sample_type	paraffin_ctrl	-0.6727850530955	0.369199825769867	176	26	0.070531279837006	0.142918645985512
Selenomonas	sample_type	paraffin_ctrl	-0.981839670570727	0.541255604412028	176	39	0.0763938361385084	0.153451966504308
Sphingomonas	sample_type	paraffin_ctrl	0.908117089332735	0.517790262709714	176	171	0.0814868091433465	0.162271145794078
Leptothrix	sample_type	paraffin_ctrl	-1.14748329969212	0.662414509499573	176	58	0.0852323391105886	0.168279233628598
Pasteurella	sample_type	paraffin_ctrl	-1.03037184309519	0.596171193539015	176	51	0.0892073945295897	0.174634814714705
Lactococcus	sample_type	paraffin_ctrl	-1.04274097912714	0.611961840286152	176	55	0.0903707224262126	0.175425520003824
Anaerococcus	sample_type	paraffin_ctrl	1.12542345421559	0.668570555671783	176	44	0.0942561720513335	0.181443131198817
Citrobacter	sample_type	paraffin_ctrl	-0.847381491957582	0.494791355604213	176	58	0.095835898023034	0.182959441680338
Campylobacter	sample_type	paraffin_ctrl	-1.04675058555809	0.632476078906313	176	45	0.101793382804997	0.192739929737331
Edwardsiella	sample_type	paraffin_ctrl	-0.591425145747103	0.364027978727636	176	42	0.116899030973926	0.219542082560787
Betaproteobacteria_unclassified_class	sample_type	paraffin_ctrl	-0.51301382953741	0.328208764615345	176	20	0.120997055304084	0.225405804639059
Lachnospiraceae_unclassified_family	sample_type	paraffin_ctrl	-0.768405660711293	0.495151831439759	176	30	0.122924758519419	0.227164953743887
Neorhizobium	sample_type	paraffin_ctrl	-0.692647073565405	0.447628606077019	176	22	0.12661239240109	0.232122719401999
Phyllobacterium	sample_type	paraffin_ctrl	-0.454443365330717	0.297407086653722	176	21	0.132209298844532	0.238596469008492
Azospira	sample_type	paraffin_ctrl	0.664383582803	0.436153217878112	176	21	0.131428503769594	0.238596469008492
Massilistercora	sample_type	paraffin_ctrl	-0.62982909613712	0.418298983085778	176	22	0.134204025006246	0.240318835476302
Alicycliphilus	sample_type	paraffin_ctrl	0.379938932173277	0.252792359021905	176	21	0.135505004964913	0.24078197036073
Paracidovorax	sample_type	paraffin_ctrl	0.690059933872919	0.462573028487467	176	33	0.138560726360928	0.244332273201332
Shigella	sample_type	paraffin_ctrl	-0.82173038404014	0.556384395951249	176	63	0.141512630898891	0.245785095771758
Enterocloster	sample_type	paraffin_ctrl	-0.510188681317331	0.344503158336707	176	25	0.140981039944208	0.245785095771758
Sphingopyxis	sample_type	paraffin_ctrl	0.712297964827009	0.486243849719947	176	72	0.144755403755632	0.249541031847395
