feature	Finegoldia	Anaerococcus	Lachnospiraceae_unclassified_family	Campylobacter	Mesorhizobium	Pseudomonas	Faecalibacterium	Peptostreptococcaceae_unclassified_family	Blautia	Streptococcus	Peptoniphilus	Anaerobutyricum	Clostridium	Anaerostipes	Dialister	Mediterraneibacter	Ruminococcus	Escherichia	Lachnospira	Aminipila	Shigella	Mogibacterium	Massilistercora	Romboutsia	Pseudobutyrivibrio	Lactobacillus	Stenotrophomonas	Phocaeicola	Cutibacterium	Roseburia	Lachnoclostridium	Acinetobacter	Sinorhizobium	Ruthenibacterium	Staphylococcus	Janthinobacterium	Eubacteriales.Family.XIII..Incertae.Sedis_unclassified_family	Lacrimispora	Enterococcus	Bacteroides	Megasphaera	Salmonella	Enterobacter	Hungatella	Enterocloster	Haemophilus	Corynebacterium	Veillonella	Ligilactobacillus	Brucella	Agrobacterium	Ralstonia	Peptacetobacter	Gemella	Bacillus	Anaerocolumna	Acetivibrio	Fusobacterium	Mammaliicoccus	Tannerella	Lachnoanaerobaculum	Herbinix	Porphyromonas	Prevotella	Yokenella	Mannheimia	Paraclostridium	Piscinibacter	Serratia	Citrobacter	Sphingomonas	Clostridioides	Crassaminicella	Klebsiella	Butyrivibrio	Segatella	Rhizobium	Parvimonas	Abiotrophia	Aerococcus	Alkaliphilus	Pantoea	Mixta	Jeotgalibaca	Sodalis	Enterobacteriaceae_unclassified_family	Vibrio	Priestia	Limosilactobacillus	Proteus	Methylobacterium	Edwardsiella	Moraxella	Actinobacillus	Yersinia	Cronobacter	Xylanibacter	Pseudoduganella	Tetragenococcus	Pasteurella	Carnobacterium	Methylocystis	Leclercia	Aggregatibacter	Acidovorax	Phyllobacterium	Raoultella	Burkholderiales_unclassified_order	Providencia	Aquibium	Erwinia	Companilactobacillus	Methylorubrum	Selenomonas	Atlantibacter	Lysinibacillus	Pectobacterium	Kluyvera	Melissococcus	Paracidovorax	Stutzerimonas	Aeromonas	Aminobacter	Vagococcus	Filifactor	Hydrogenophaga	Phascolarctobacterium	Lactococcus	Gudongella	Neisseria	Azospira	Novosphingobium	Latilactobacillus	Aquabacterium	Capnocytophaga	Kosakonia	Listeria	Leptothrix	Sphaerotilus	Massilia	Rubrivivax	Schaalia	Diaphorobacter	Actinomyces	Devosia	Cupriavidus	Roseateles	Weissella	Herbaspirillum	Sphingobium	Leuconostoc	Ottowia	Chromobacterium	Cloacibacterium	Comamonas	Eikenella	Glaesserella	Sphingosinicella	Hyphomicrobium	Rhodoferax	Cytobacillus	Kingella	Lapidilactobacillus	Kocuria	Brevundimonas	Delftia	Sphingosinithalassobacter	Pasteurellaceae_unclassified_family	Avibacterium	Rhodopseudomonas	Rhizorhabdus	Caminibacter	Bibersteinia	Bradyrhizobium	Bosea	Paenacidovorax	Variovorax	Methylibium	Afipia	Breoghania	Caenibius	Microvirga	Rothia	Polaromonas	Croceicoccus	Bordetella	Ancylobacter	Blastochloris	Paracoccus	Stella	Burkholderia	Tsuneonella	Ochrobactrum	Tardibacter	Sphingopyxis	Xanthomonas	Roseomonas	Altererythrobacter	Micrococcus	Collimonas	Vitreoscilla	Sphingorhabdus	Alicycliphilus	Anabaena	Inhella	Rodentibacter	Caulobacter	Alysiella	Salinicoccus	Ramlibacter	Paraburkholderia	Acetobacter	Porphyrobacter	Synechococcus	Denitratisoma	Erythrobacter	Nitrobacter	Neorhizobium	Undibacterium	Oscillatoria	Parasphingopyxis	Pandoraea	Mycetohabitans	Caballeronia	Qipengyuania	Zymomonas	Blastomonas	Sulfuricystis	Rhodoplanes	Betaproteobacteria_unclassified_class	Phenylobacterium
2021_11_16_negKO1_16S_PMAPS	2125	910	301	207	255	25	285	767	527	1155	2492	24	190	57	856	72	94	1442	63	95	90	272	52	25	22	131	3	78	54	78	90	12	0	240	2	10	50	13	74	27	118	93	46	17	56	609	1	412	0	0	14	12	19	191	1	3	14	0	0	1	99	5	1	149	1	2	6	21	4	8	28	2	5	88	9	36	1	271	37	29	3	2	1	18	0	2	1	0	0	0	7	2	10	0	1	1	4	0	17	7	25	0	1	4	23	1	0	0	0	0	1	1	20	49	3	0	0	1	0	0	0	0	0	40	0	0	158	104	2	56	2	0	0	46	12	2	0	3	1	0	0	4	6	0	0	12	0	2	0	0	0	0	0	0	13	2	0	1	0	3	0	0	1	0	5	0	1	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021_11_16_negKO3_16S_PMAPS	5	0	16	1271	107	20	0	0	78	68068	37	6	5	83	2481	26	0	1132	1	0	77	1	1	45	1	1	0	11	2	118	60	0	0	0	65	41	0	26	487	30	2226	60	34	0	13	284	0	44836	0	2	0	26	516	6271	23	39	1	232	0	67	138	26	112	2328	1	48	40	28	39	8	138	198	1	18	34	81	2	2733	20140	1523	8	6	1	410	1	0	3	2	1530	2	3	3	0	34	4	2	53	0	1005	39	1327	0	3	817	2	0	0	0	0	0	1	12	2	1850	1	10	6	0	3	0	0	1	0	2701	67	2	8	3	1	28	41	28	12	95	1595	1	4	12	6	0	12	136	32	58	5	0	2	73	29	0	3	103	0	7	0	143	7	2	0	2	1	0	17	0	0	2	0	3	9	0	0	0	2	2	0	1	0	8	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	12	0	0	0	4	11	0	0	7	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021_11_16_negKO2_16S_PMAPS	3448	10271	9829	97	6749	1	6256	8642	12675	9513	7498	1114	912	1991	784	1523	2042	4973	743	281	250	888	228	106	561	599	0	186	2030	2727	1767	204	94	591	7052	7	269	460	5	81	172	899	166	432	258	15	56	87543	0	34	1	1	98	438	5	453	105	199	1	286	23	88	53	280	36	0	49	0	269	22	497	24	9	369	21	63	12	397	6	4	2	9	3	2	2	2	0	0	680	4	1	11	0	4	22	7	16	131	4	1	7	0	8	0	46	8	5	1	0	21	3	0	0	108	4	1	0	0	0	2	0	587	24	8	13	0	756	260	11	3	7	395	0	1	0	2	217	1	0	545	0	167	9	2	3	0	0	489	6	2	0	0	0	0	183	0	0	9	0	1	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	1	0	0	0	7	0	0	0	0	0	0	0	1	11	3	1	0	4	0	0	0	0	0	0	0	1	0	0	32	0	0	0	0	0	6	0	0	0	19	28	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
2022_04_20_neg_ctrl3_16S_PMAPS	145	0	0	0	22	93	0	0	0	3006	0	0	0	0	0	0	0	573	0	0	19	0	1	0	0	0	0	0	676	0	0	0	1	0	1	0	0	0	16	0	0	56	36	0	0	0	0	984	0	1	0	4	0	612	243	0	0	0	0	0	0	0	0	11	0	0	0	0	0	3	1987	0	0	19	0	0	0	0	0	30	0	1	0	10	1	0	0	10	0	0	0	2	250	0	1	1	1	0	13	0	49	0	1	0	0	0	0	0	0	0	0	1	0	12	1	5	0	0	0	0	0	7	0	60	0	0	0	1	0	234	0	26	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	2	1	160	0	0	0	0	24	0	35	0	0	0	305	0	22	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	17	0	0	2	0	0	0	0	4619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16	0	1	0	0	3	0	0	0	0	1	4	2	8	2	1	0	0	0	0	0
2022_04_20_neg_ctrl2_16S_PMAPS	123	984	1	0	750	0	33	442	4	315	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	32	0	1	0	0	1	44	0	45	0	1	0	68	0	0	0	0	0	0	0	1	0	8	0	0	0	0	10	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	8411	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	590	0	150	0	0	541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	103	0	0	0	132	0	0	14	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	4	8	3	0	0	0	0
2022_04_20_neg_ctrl1_16S_PMAPS	3754	1427	240	933	9	21	158	3650	706	753	3743	12	8	139	1948	184	12	3247	1	184	158	296	77	51	9	58	61	1	0	55	128	0	0	68	13	154	121	53	8	29	3	222	109	17	142	102	0	80	0	0	0	1	676	0	0	8	4	18	0	4	0	0	28	226	3	0	179	0	7	18	1945	121	10	38	1	35	0	802	9	9	13	6	5	1	5	4	1	0	0	4	19	20	0	1	8	2	24	0	5	2	12	0	2	1	0	0	1	0	0	0	0	0	4	0	1	0	0	0	3	1	0	1	0	13	2	0	72	7	6	0	0	32	6	2	0	2	0	1	2	0	0	1	26	0	0	2	22	0	1	1	2	0	1	0	0	0	0	34	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	625	1	0	0	1	0	0	0	4	0	0	0	0	0	1	18	0	2513	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	6	0	4	0	0	0	0	1	1	0	0	0	0	3	0	1	2	1	0	1	1	0	0
2022_04_20_neg_ctrl4_16S_PMAPS	0	0	0	0	25	16	0	0	0	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	4	0	0	17	0	0	0	1	0	5	0	0	0	0	135	0	438	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	3	0	472	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	4	0	0	0	85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3334	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	2	0	0	11	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0
2022_07_11_neg KO 1_16S_PMAPS	0	0	152	589	96	25	0	0	273	15863	0	16	20	72	625	38	0	1	17	170	0	1416	5	137	3	2	0	11	44	138	182	0	0	0	114	23	300	143	84	19	94	3	1	23	69	3411	215	6772	9	1	0	14	1054	2182	10	114	4	4958	1	657	1711	52	155	1589	0	41	120	0	3	0	1945	377	3	1	107	68	0	631	489	186	11	0	0	34	1	0	38	0	0	0	0	0	27	30	0	0	21	0	113	32	182	0	0	846	0	0	0	0	1	0	0	3	0	1405	0	1	0	0	2	0	0	0	0	329	512	0	2	23	0	574	0	26	1	0	388	0	0	0	1	0	0	393	0	644	0	2	0	6	1	1	0	2	0	0	1	302	2	39	0	0	0	24	3	18	0	1	0	9	28	0	0	1	0	0	0	0	0	0	0	0	0	0	398	0	0	3	0	0	0	0	16883	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	0	0	1	0	24	0	0	0	0	3	0	0	0	0	0	13	7	9	0	0	0	0	0	0	0
2022_07_11_neg KO 2_16S_PMAPS	0	0	182	482	255	0	0	0	330	14123	0	24	35	60	108	33	0	0	17	35	0	192	3	52	3	0	0	0	0	277	154	59	1	0	92	0	71	33	31	1	121	0	5	39	23	4039	18	8623	0	1	0	7	428	1130	2	152	0	1199	0	13	1669	46	3	958	0	39	60	0	2	1	124	183	1	0	77	29	0	269	76	147	9	2	0	34	0	0	27	0	0	3	21	0	0	16	0	0	2	0	86	56	104	0	0	756	0	0	0	0	0	1	0	1	0	1498	0	1	2	0	4	0	0	0	0	201	386	0	5	2	0	146	0	1	6	0	34	0	0	0	0	1	0	90	0	140	0	0	0	6	1	5	0	1	4	1	0	47	0	0	0	0	0	0	2	0	0	1	0	3	21	0	1	0	0	0	0	0	0	0	0	1	0	0	112	0	0	3	0	0	0	0	14505	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	11	3	9	0	0	0	0	0	0	0
2022_07_11_neg KO 3_16S_PMAPS	961	653	74	1073	1	0	102	4	170	397	624	12	4	36	261	24	52	263	21	25	16	44	2	4	3	0	0	34	0	47	37	0	0	68	22	0	157	4	3	7	8	10	7	3	9	55	0	6	0	0	0	0	33	12	0	2	0	13	0	0	0	1	17	4	0	0	15	0	0	3	41	10	1	11	0	13	0	1	7	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	1	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2022_07_11_neg KO 4_16S_PMAPS	0	0	0	0	15	0	0	0	0	832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	139	0	0	0	0	0	0	6	0	0	0	0	0	0	422	2	95	0	0	0	0	0	170	1	0	0	28	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	48	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	5	1	1	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_07_11_neg KO 5_16S_PMAPS	23	14	0	23	4	0	13	19	0	4230	0	0	2	0	2	0	0	0	0	1	0	1	0	1	0	13	4	0	8	0	1	16	1	0	126	0	2	1	29	0	1	0	0	1	0	621	6	522	0	0	0	17	12	338	0	0	0	2	0	1	15	0	9	1	0	6	1	0	3	0	222	2	0	0	0	1	0	20	95	53	0	0	0	4	0	0	0	0	0	0	0	0	11	4	1	0	0	0	41	3	41	0	0	38	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	58	0	0	9	1	0	85	0	4	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2022_08_17_neg KO 1_16S_PMAPS	0	0	0	0	0	76	0	0	0	577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	8	0	0	6	0	0	0	1	0	0	42	0	62	0	0	0	2	0	138	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	978	0	0	0	0	0	0	0	5	25	0	0	0	7	0	0	0	0	0	0	0	0	137	0	0	0	0	140	9	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	262	0	0	0	0	0	0	33	1	2	0	0	0	0	0	0	0	0	24	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	2	0	0	0	0	3468	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0
2022_08_17_neg KO 2_16S_PMAPS	953	892	145	2122	1	0	203	1	336	402	764	7	2	27	351	29	48	975	0	31	43	28	12	3	17	0	0	80	0	27	38	0	0	46	49	0	137	5	7	0	1	42	14	11	0	137	0	0	0	0	0	0	43	0	0	1	3	75	0	0	1	1	9	9	0	0	13	0	2	6	2	9	2	10	2	29	0	1	1	0	1	4	1	0	0	1	0	0	0	1	0	4	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	4	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	25	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_08_17_neg KO 3_16S_PMAPS	154	69	9	34	150	0	0	103	51	1492	22	22	5	12	1	5	37	0	0	22	0	5	2	0	0	0	1	3	18	31	10	1	0	0	136	0	12	0	0	0	0	0	0	0	0	31	0	324	0	0	0	55	1	110	0	0	2	0	0	0	1	0	0	5	0	0	0	2	0	0	1858	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	2	1	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	3	0	0	0	22	0	0	0	54	1	0	0	0	8	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	106	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	6	0	0	1	1	0	0	0	0	0
2022_08_17_neg KO 4_16S_PMAPS	0	0	10	6	218	3	0	0	0	18577	29	3	0	5	0	1	0	122	0	11	4	0	0	44	0	0	0	4	1	1	5	48	0	0	211	132	625	3	372	6	106	7	3	2	0	1993	2	2817	3	1	0	62	437	2416	5	2	0	133	1	17	360	0	56	173	0	14	48	0	1	0	97	166	2	2	15	62	1	5	288	731	4	0	0	104	0	0	15	1	0	0	0	0	1	7	0	0	1	0	468	23	775	0	0	10	2	0	0	0	0	0	0	3	0	11	0	0	0	0	30	0	0	0	0	1161	0	0	0	1	0	1810	0	1	23	0	30	1	0	0	0	0	0	101	0	0	0	0	0	39	0	0	6	0	0	0	0	1	0	2	0	1	1	2	14	0	3	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_08_17_neg KO 5_16S_PMAPS	45	0	19	255	1163	0	0	0	13	9377	0	11	0	8	0	18	0	0	1	0	0	75	0	14	0	0	0	5	17	2	88	0	0	0	1020	0	30	129	3	6	52	0	0	17	7	281	0	2451	281	5	0	0	142	1576	0	1	0	85	1	3	211	3	8	110	0	4	12	0	0	0	18391	56	0	0	29	73	2	176	974	2	0	0	0	0	0	0	0	0	117	0	0	0	7	1	0	0	6	0	0	1	0	0	0	165	0	1	0	0	0	2	0	0	0	443	0	1	0	0	0	0	0	0	1	1	0	0	3	0	0	619	0	232	1	0	28	0	0	0	0	0	0	0	0	5	0	0	0	1	0	12	0	0	0	0	0	23	0	342	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	18	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	0	4	2	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	4	8	1	0	0	0	0
2023_01_17_neg_KO_OSR1_16S_PMAPS	0	0	0	20	10	1	0	0	0	1006	0	0	0	0	0	0	0	1823	0	0	80	0	0	0	0	0	73	0	3	0	0	5	0	0	27	16	0	0	3	0	1	122	73	0	0	152	0	201	0	0	0	28	0	76	0	0	0	30	0	0	0	0	6	1	1	0	0	4	3	10	385	0	0	43	0	0	0	18	83	6	0	3	1	3	2	0	1	0	0	0	0	3	13	1	2	2	0	9	6	2	8	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	0	0	73	0	8	0	1	3	0	0	3	0	129	0	18	0	0	0	0	253	0	1	0	0	0	1	0	0	4	1	5	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2350	0	0	0	0	1	0	0	0	0	3	0	0	0	6	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2023_01_17_neg_KO_UNB2_16S_PMAPS	0	0	0	0	0	2	0	0	0	4274	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	2	0	0	0	2	0	0	5668	0	395	0	0	0	0	0	2592	2	0	0	7	0	1	0	0	3	0	0	12	0	0	99	1	0	0	0	7	0	0	0	2	0	2	0	2	0	1	1	0	11	0	0	1	0	0	0	19	2	0	0	0	1	35	3	0	0	514	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	5	0	0	0	4	0	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	3	18	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2023_01_17_neg_KO_SCU3_16S_PMAPS	0	0	0	0	100	0	0	0	1	4191	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	156	4	0	26	0	1	5	0	0	1	41	0	8	10	0	40	0	0	0	0	563	7	3687	0	0	0	249	65	92	0	0	0	31	0	0	1	0	1	30	0	6	3	8	0	0	82	32	0	0	0	0	1	0	2634	14	0	0	0	7	0	0	2	0	0	0	1	0	0	10	0	0	0	0	11	15	14	0	0	328	26	0	0	1	0	0	0	0	0	11	0	0	0	0	0	2	0	0	0	32	0	0	1	0	0	7	0	2	0	1	49	0	0	4	0	0	4	0	3	0	0	5	602	1	2	0	0	3	0	0	2	106	2	4	0	0	0	2	1	0	3	11	1	3	15	17	0	0	1	34	1	0	1	0	4	0	0	0	0	0	0	3	0	1	0	1	16555	0	0	0	1	0	0	0	0	0	5	0	0	0	5	0	13	1	1	0	30	0	0	0	0	0	0	0	0	0	0	13	3	7	0	0	0	0	0	0	27
2022_12_20_neg_KO3_16S_PMAPS	0	0	0	3	0	19	0	0	0	1190	0	0	0	0	0	0	0	19	0	0	4	0	0	0	0	0	0	0	13	1	0	72	0	0	0	41	0	0	7	0	0	5	123	0	0	267	0	250	0	4	1	291	0	222	9	0	0	0	0	12	0	1	61	0	1	0	0	3	227	1	321	0	0	12	0	0	588	0	2	34	0	2	0	7	0	1	0	0	0	0	0	2	0	1	7	0	0	0	27	0	36	0	5	29	0	0	0	0	2	0	0	1	0	0	0	1	2	2	0	0	0	0	0	68	0	0	0	0	0	1	0	5	0	1	6	0	0	2	0	2	0	0	0	0	0	8	340	2	5	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	30508	0	1	0	7	0	0	0	0	0	3	0	0	5	2	0	0	0	3	0	37	0	0	5	2	0	0	0	0	0	0	16	10	17	0	0	2	0	0	0	0
2022_12_20_neg_KO1_16S_PMAPS	80	62	2	111	8	0	0	8	85	601	71	25	7	7	0	3	5	12	3	1	2	3	1	0	1	0	12	0	0	2	7	0	8	0	111	126	0	0	75	0	0	0	0	2	0	62	0	52	0	0	2	234	0	0	2	1	6	0	0	0	0	1	0	0	0	0	0	2	0	0	883	0	0	1	0	0	17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	10	0	1	0	0	0	4	0	2332	3	0	1	0	0	2	360	0	9	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	3	3	1	0	0	12	0	0	0	14	1	0	16	1	3	1	0	0	0	3	0	0	0	1	24	0	2	0	1	0	0	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	48	2	0	0	6	0	0	1	0	0	0	0	1	0
2022_12_20_neg_KO4_16S_PMAPS	0	0	0	0	0	0	0	0	0	8948	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	408	439	0	0	5	0	0	0	0	0	0	1040	9	10772	0	0	0	2832	0	3010	1	0	6	911	0	135	0	0	146	469	0	3	0	1	0	0	663	0	0	0	0	0	0	446	3650	1	0	0	0	0	1	0	0	0	0	0	0	0	162	2	0	0	0	1	0	6	0	0	0	3	0	0	0	2	0	0	0	0	0	46	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	530	0	6	0	1	2268	0	0	3	0	0	1	42	0	83	0	29	231	0	3	4	0	2	1	0	1	117	0	0	0	0	0	1	0	0	0	4	0	0	3	107	0	1	0	40	0	0	1	0	10	0	0	0	309	0	5	3	0	0	0	1	62471	0	0	0	8	0	0	0	0	2	3	0	0	2	1	0	0	0	0	0	713	0	0	0	0	0	15	0	0	0	0	50	12	18	0	1	1	0	0	0	0
2022_12_20_neg_KO5_16S_PMAPS	0	0	0	0	0	0	0	0	0	4488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	652	0	0	2	0	0	0	0	0	0	2	2	676	0	0	0	2764	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	33	0	0	10887	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	122	0	3	45	0	0	25	0	0	5	0	0	0	0	21	2919	0	5	6	0	3	0	0	2	0	0	169	0	1	0	0	0	0	0	23	2	0	0	10	1	0	0	13	0	0	5	1	4	0	0	0	0	2	0	4	0	1	24	0	25624	0	0	0	3	0	0	0	0	0	17	1	0	2	15	0	0	0	0	1	41	1	1	0	0	3	0	0	0	0	1	18	5	5	2	2	1	0	0	0	0
