feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Sphingosinithalassobacter_tenebrarum	sample_type	paraffin_ctrl	6.42317195953814	0.59648997181191	176	76	1.81294688429863e-17	1.03881856470312e-14
Mesorhizobium_terrae	sample_type	paraffin_ctrl	-5.57244055299089	0.614647367520811	176	70	2.06966730279095e-14	5.92959682249608e-12
Brevundimonas_sp._GW460.12.10.14.LB2	sample_type	paraffin_ctrl	4.1661502703352	0.539518106749775	176	43	8.66689451338057e-13	1.65537685205569e-10
Sphingomonas_hengshuiensis	sample_type	paraffin_ctrl	3.15262545218923	0.435715802883923	176	62	2.73835796180982e-11	3.92269778029257e-09
Brevundimonas_mediterranea	sample_type	paraffin_ctrl	2.13219952059309	0.31284290015674	176	37	1.47870921487575e-10	1.69460076024761e-08
Sphingobium_sp._TKS	sample_type	paraffin_ctrl	2.00667076382489	0.311611856673173	176	28	1.16287158204494e-09	1.11054236085292e-07
Rhizorhabdus_dicambivorans	sample_type	paraffin_ctrl	2.3713144831379	0.333721724921627	176	38	1.09212315583956e-08	7.82233210370084e-07
Sphingomonas_sanxanigenens	sample_type	paraffin_ctrl	4.80987556001785	0.558596757234495	176	78	9.74796590742136e-09	7.82233210370084e-07
Qipengyuania_sediminis	sample_type	paraffin_ctrl	1.62927784573996	0.280268579759563	176	33	3.49099990425753e-08	2.22260327237729e-06
Sphingomonas_sp._LK11	sample_type	paraffin_ctrl	2.63991805399962	0.452101125368911	176	54	5.88589708074552e-08	3.37261902726718e-06
Novosphingobium_pentaromativorans	sample_type	paraffin_ctrl	2.01224685658017	0.361351924912562	176	37	1.07136496367656e-07	5.58083749260608e-06
Caenibius_tardaugens	sample_type	paraffin_ctrl	2.47220871422146	0.455544980654293	176	41	2.05288609273219e-07	9.80253109279621e-06
Sphingomonas_insulae	sample_type	paraffin_ctrl	2.94086737688753	0.557860655761514	176	105	4.08590397791945e-07	1.8009407533445e-05
Brevundimonas_vesicularis	sample_type	paraffin_ctrl	2.13081561455962	0.406683919065139	176	31	4.61535503500754e-07	1.88899888218523e-05
Sphingomonas_sp._FARSPH	sample_type	paraffin_ctrl	3.43405147759205	0.661783197881936	176	100	5.89501108994165e-07	2.25189423635771e-05
Sphingomonas_sediminicola	sample_type	paraffin_ctrl	2.19330347385148	0.433891377177598	176	55	1.08318497099675e-06	3.87915617738211e-05
Erythrobacter_neustonensis	sample_type	paraffin_ctrl	1.077529390607	0.226078853616694	176	24	5.64546775460606e-06	0.000190285471964075
Sphingomonas_koreensis	sample_type	paraffin_ctrl	3.35315271470117	0.594310071473943	176	143	8.41593116551632e-06	0.00026790714210227
Brucella_melitensis	sample_type	paraffin_ctrl	-2.02567762839934	0.428751415296838	176	31	9.0926854589681e-06	0.000274216250946775
Enterococcus_durans	sample_type	paraffin_ctrl	-1.79987837601068	0.381646931870504	176	33	9.76673503852185e-06	0.000279816958853651
Sphingobium_sp._YG1	sample_type	paraffin_ctrl	1.99201446018187	0.439359274023801	176	33	1.08116173944272e-05	0.000295002703190799
Sphingomonas_sp._NIC1	sample_type	paraffin_ctrl	3.09890839433614	0.682085331710507	176	80	1.17930070194118e-05	0.000307154228278315
Sphingobium_baderi	sample_type	paraffin_ctrl	1.20130342467452	0.267634219714789	176	28	1.3005020993745e-05	0.000310494876225662
Brevundimonas_naejangsanensis	sample_type	paraffin_ctrl	1.58814283035692	0.344901060620705	176	29	1.24816247472153e-05	0.000310494876225662
Aquibium_oceanicum	sample_type	paraffin_ctrl	-1.79110057027567	0.394628381567389	176	28	1.44078268810726e-05	0.000330227392114185
Sphingosinicella_sp._BN140058	sample_type	paraffin_ctrl	2.25415155925279	0.506757290081124	176	71	1.54053314879052e-05	0.00033950980548345
Mesorhizobium_loti	sample_type	paraffin_ctrl	-1.99477998620298	0.451135394620526	176	21	1.9812098655876e-05	0.00042045676036359
Rhizorhabdus_phycosphaerae	sample_type	paraffin_ctrl	1.55501958885778	0.313830434788	176	30	2.32102259058126e-05	0.000458602049794159
Erythrobacter_aureus	sample_type	paraffin_ctrl	1.96239091883039	0.434686899029339	176	42	2.28268936510932e-05	0.000458602049794159
Anaerostipes_hadrus	sample_type	paraffin_ctrl	-1.96827931629372	0.442681525806146	176	36	2.589885559306e-05	0.000480978071868806
Stenotrophomonas_sp._G4	sample_type	paraffin_ctrl	1.56496751828764	0.361250697625371	176	24	2.60215012703891e-05	0.000480978071868806
Butyrivibrio_hungatei	sample_type	paraffin_ctrl	-1.43332205551075	0.328185301771681	176	26	3.02220457264968e-05	0.000541163506290083
Brevundimonas_sp._SGAir0440	sample_type	paraffin_ctrl	2.2872293034249	0.516838784420583	176	32	3.16210457510842e-05	0.000549056339859735
Roseburia_intestinalis	sample_type	paraffin_ctrl	-2.140479479324	0.484706966101032	176	37	4.72947017186716e-05	0.000797054826023496
Haemophilus_parainfluenzae	sample_type	paraffin_ctrl	-3.38488702941663	0.814530608207494	176	66	5.26143790852087e-05	0.00086137254902356
Sphingomonas_sp._CL5.1	sample_type	paraffin_ctrl	2.11103822617481	0.511711775117751	176	82	6.26124071890618e-05	0.0009965808144259
Streptococcus_australis	sample_type	paraffin_ctrl	-2.66850753380532	0.643638537253191	176	109	7.11996161515239e-05	0.0011026318933736
Tardibacter_chloracetimidivorans	sample_type	paraffin_ctrl	1.15652751889441	0.276667301544859	176	30	8.27269864605269e-05	0.00124743587478637
Ralstonia_pickettii	sample_type	paraffin_ctrl	-2.02733006498499	0.505302776295068	176	50	8.9254204723746e-05	0.0013113502386335
Sphingomonas_paucimobilis	sample_type	paraffin_ctrl	3.4968324176941	0.812868734805387	176	113	0.000105701236805885	0.0015141702172443
Stenotrophomonas_maltophilia	sample_type	paraffin_ctrl	3.31286079935374	0.645840280184915	176	54	0.000117174066734811	0.00163757903022065
Anaerocolumna_sedimenticola	sample_type	paraffin_ctrl	-1.07181705168298	0.270796124452758	176	24	0.000125655583776563	0.00171430117866597
Moraxella_osloensis	sample_type	paraffin_ctrl	3.25522888281304	0.820663892986712	176	98	0.0001309629159579	0.00174515699636923
Mesorhizobium_sp._M2A.F.Ca.ET.043.05.1.1	sample_type	paraffin_ctrl	-1.14650909826731	0.293309275298763	176	18	0.000140546070819494	0.00183029314953568
Croceicoccus_marinus	sample_type	paraffin_ctrl	1.02972425425403	0.253525759553365	176	22	0.000164267093237666	0.00209166765389295
